municipality,bfs_id,mean,gini
Aeugst am Albis,1,56077,0.523
Affoltern am Albis,2,40365,0.434
Bonstetten,3,50364,0.415
Hausen am Albis,4,47717,0.47
Hedingen,5,50436,0.453
Kappel am Albis,6,48833,0.484
Knonau,7,44191,0.444
Maschwanden,8,40302,0.437
Mettmenstetten,9,48817,0.456
Obfelden,10,42248,0.419
Ottenbach,11,46454,0.444
Rifferswil,12,49413,0.45
Stallikon,13,55787,0.451
Wettswil am Albis,14,64840,0.493
Adlikon,21,40509,0.383
Benken (ZH),22,43924,0.437
Berg am Irchel,23,44714,0.449
Buch am Irchel,24,46269,0.412
Dachsen,25,45219,0.442
Dorf,26,47570,0.425
Feuerthalen,27,41015,0.432
Flaach,28,43000,0.404
Flurlingen,29,46359,0.491
Andelfingen,30,47909,0.439
Henggart,31,45273,0.404
Humlikon,32,44853,0.436
Kleinandelfingen,33,42151,0.398
Laufen-Uhwiesen,34,53046,0.494
Marthalen,35,42735,0.414
Oberstammheim,36,40100,0.39
Ossingen,37,38415,0.429
Rheinau,38,39380,0.425
Thalheim an der Thur,39,42163,0.411
Trüllikon,40,41750,0.435
Truttikon,41,37150,0.415
Unterstammheim,42,41428,0.476
Volken,43,50319,0.428
Waltalingen,44,40719,0.411
Bachenbülach,51,45027,0.422
Bassersdorf,52,46562,0.41
Bülach,53,43101,0.426
Dietlikon,54,47431,0.423
Eglisau,55,48590,0.427
Embrach,56,41109,0.415
Freienstein-Teufen,57,44967,0.417
Glattfelden,58,41997,0.408
Hochfelden,59,45556,0.406
Höri,60,38261,0.394
Hüntwangen,61,48235,0.415
Kloten,62,41229,0.422
Lufingen,63,54965,0.42
Nürensdorf,64,57967,0.481
Oberembrach,65,46872,0.414
Opfikon,66,40969,0.433
Rafz,67,44180,0.418
Rorbas,68,38716,0.398
Wallisellen,69,50645,0.443
Wasterkingen,70,43382,0.376
Wil (ZH),71,50277,0.508
Winkel,72,64120,0.492
Bachs,81,42101,0.407
Boppelsen,82,63068,0.479
Buchs (ZH),83,44320,0.4
Dällikon,84,42685,0.417
Dänikon,85,47322,0.465
Dielsdorf,86,44385,0.422
Hüttikon,87,52056,0.421
Neerach,88,65980,0.483
Niederglatt,89,42023,0.394
Niederhasli,90,41101,0.398
Niederweningen,91,45125,0.443
Oberglatt,92,36823,0.385
Oberweningen,93,49001,0.442
Otelfingen,94,46949,0.409
Regensberg,95,54149,0.419
Regensdorf,96,41554,0.415
Rümlang,97,43691,0.443
Schleinikon,98,41736,0.419
Schöfflisdorf,99,48385,0.418
Stadel,100,43069,0.404
Steinmaur,101,45342,0.425
Weiach,102,41720,0.406
Bäretswil,111,41965,0.421
Bubikon,112,45225,0.415
Dürnten,113,40322,0.417
Fischenthal,114,34736,0.407
Gossau (ZH),115,45341,0.43
Grüningen,116,46305,0.437
Hinwil,117,42034,0.419
Rüti (ZH),118,36713,0.42
Seegräben,119,44552,0.437
Wald (ZH),120,36192,0.406
Wetzikon (ZH),121,39128,0.408
Adliswil,131,48525,0.47
Hirzel,132,47972,0.471
Horgen,133,53717,0.496
Hütten,134,36791,0.452
Kilchberg (ZH),135,92340,0.606
Langnau am Albis,136,51100,0.48
Oberrieden,137,64032,0.516
Richterswil,138,48692,0.48
Rüschlikon,139,91448,0.624
Schönenberg (ZH),140,47974,0.469
Thalwil,141,60311,0.505
Wädenswil,142,47793,0.471
Erlenbach (ZH),151,96573,0.64
Herrliberg,152,92597,0.63
Hombrechtikon,153,44827,0.463
Küsnacht (ZH),154,97079,0.652
Männedorf,155,55586,0.484
Meilen,156,72016,0.567
Oetwil am See,157,39842,0.394
Stäfa,158,54886,0.505
Uetikon am See,159,63420,0.534
Zumikon,160,99954,0.656
Zollikon,161,90364,0.618
Fehraltorf,172,46181,0.406
Hittnau,173,44930,0.406
Illnau-Effretikon,174,41601,0.421
Kyburg,175,47261,0.432
Lindau,176,48233,0.43
Pfäffikon,177,44164,0.427
Russikon,178,49427,0.44
Weisslingen,180,47432,0.444
Wila,181,36305,0.405
Wildberg,182,41923,0.395
Dübendorf,191,45321,0.434
Egg,192,51925,0.491
Fällanden,193,51099,0.459
Greifensee,194,47137,0.442
Maur,195,62315,0.516
Mönchaltorf,196,44811,0.432
Schwerzenbach,197,45140,0.408
Uster,198,44695,0.43
Volketswil,199,46279,0.425
Wangen-Brüttisellen,200,47422,0.443
Altikon,211,41518,0.424
Brütten,213,55225,0.447
Dägerlen,214,43996,0.398
Dättlikon,215,52455,0.45
Dinhard,216,46510,0.419
Elgg,217,40515,0.433
Ellikon an der Thur,218,43404,0.434
Elsau,219,42748,0.435
Hagenbuch,220,38298,0.418
Hettlingen,221,53655,0.485
Hofstetten (ZH),222,39421,0.408
Neftenbach,223,47701,0.429
Pfungen,224,40299,0.392
Rickenbach (ZH),225,42153,0.422
Schlatt (ZH),226,39846,0.421
Seuzach,227,49845,0.439
Turbenthal,228,35767,0.404
Winterthur,230,38986,0.434
Zell (ZH),231,37326,0.415
Aesch (ZH),241,63670,0.481
Birmensdorf (ZH),242,50064,0.436
Dietikon,243,36979,0.419
Geroldswil,244,46944,0.451
Oberengstringen,245,44895,0.446
Oetwil an der Limmat,246,51524,0.475
Schlieren,247,37593,0.397
Uitikon,248,92055,0.581
Unterengstringen,249,54727,0.486
Urdorf,250,44691,0.412
Weiningen (ZH),251,45822,0.425
Zürich,261,46703,0.497
Bauma,297,36859,0.418
Wiesendangen,298,46429,0.421
Aarberg,301,37274,0.379
Bargen (BE),302,35417,0.383
Grossaffoltern,303,36412,0.398
Kallnach,304,35892,0.395
Kappelen,305,38863,0.403
Lyss,306,35902,0.419
Meikirch,307,41566,0.416
Radelfingen,309,36119,0.378
Rapperswil (BE),310,38358,0.438
Schüpfen,311,38123,0.412
Seedorf (BE),312,37210,0.404
Aarwangen,321,35793,0.418
Auswil,322,28313,0.392
Bannwil,323,34792,0.367
Bleienbach,324,34509,0.37
Busswil bei Melchnau,325,34992,0.387
Gondiswil,326,29841,0.348
Langenthal,329,34905,0.44
Lotzwil,331,32849,0.418
Madiswil,332,33996,0.406
Melchnau,333,33047,0.421
Obersteckholz,334,33069,0.398
Oeschenbach,335,30718,0.385
Reisiswil,336,34041,0.398
Roggwil (BE),337,31932,0.41
Rohrbach,338,29163,0.385
Rohrbachgraben,339,27541,0.408
Rütschelen,340,32576,0.366
Schwarzhäusern,341,35320,0.382
Thunstetten,342,34315,0.409
Ursenbach,344,28508,0.402
Wynau,345,34001,0.4
Bern,351,38821,0.457
Bolligen,352,49259,0.458
Bremgarten bei Bern,353,50186,0.458
Kirchlindach,354,47895,0.446
Köniz,355,40109,0.444
Muri bei Bern,356,57313,0.53
Oberbalm,357,33572,0.387
Stettlen,358,44532,0.45
Vechigen,359,42135,0.418
Wohlen bei Bern,360,47132,0.478
Zollikofen,361,39678,0.429
Ittigen,362,41173,0.44
Ostermundigen,363,34293,0.412
Biel/Bienne,371,30268,0.461
Evilard,372,52906,0.501
Arch,381,33319,0.389
Büetigen,382,36197,0.399
Büren an der Aare,383,35939,0.424
Diessbach bei Büren,385,35265,0.407
Dotzigen,386,34971,0.379
Lengnau (BE),387,34118,0.415
Leuzigen,388,33762,0.383
Meienried,389,41386,0.355
Meinisberg,390,35427,0.388
Oberwil bei Büren,391,34949,0.368
Pieterlen,392,33327,0.417
Rüti bei Büren,393,32245,0.379
Wengi,394,36602,0.395
Aefligen,401,35261,0.381
Alchenstorf,402,34219,0.376
Bäriswil,403,43524,0.415
Burgdorf,404,34102,0.435
Ersigen,405,37293,0.388
Hasle bei Burgdorf,406,31242,0.385
Heimiswil,407,32380,0.405
Hellsau,408,33812,0.38
Hindelbank,409,38425,0.383
Höchstetten,410,32629,0.402
Kernenried,411,34469,0.365
Kirchberg (BE),412,38032,0.413
Koppigen,413,35093,0.398
Krauchthal,414,36749,0.39
Lyssach,415,37937,0.385
Mötschwil,416,31769,0.432
Niederösch,417,34086,0.367
Oberburg,418,31466,0.404
Oberösch,419,35241,0.385
Rüdtligen-Alchenflüh,420,33077,0.368
Rumendingen,421,32291,0.264
Rüti bei Lyssach,422,34425,0.362
Willadingen,423,34685,0.383
Wynigen,424,31410,0.391
Corgémont,431,33760,0.413
Cormoret,432,34550,0.432
Cortébert,433,32245,0.428
Courtelary,434,32888,0.427
La Ferrière,435,32898,0.434
Mont-Tramelan,437,33237,0.438
Orvin,438,35214,0.444
Renan (BE),441,30989,0.4
Romont (BE),442,37540,0.355
Saint-Imier,443,30966,0.453
Sonceboz-Sombeval,444,32803,0.405
Sonvilier,445,28992,0.42
Tramelan,446,32838,0.42
Villeret,448,33326,0.449
Sauge,449,33630,0.461
Péry-La Heutte,450,33179,0.409
Brüttelen,491,35509,0.409
Erlach,492,39781,0.427
Finsterhennen,493,35192,0.384
Gals,494,40697,0.441
Gampelen,495,38495,0.409
Ins,496,39268,0.425
Lüscherz,497,40008,0.445
Müntschemier,498,36849,0.391
Siselen,499,35134,0.385
Treiten,500,39319,0.387
Tschugg,501,36909,0.407
Vinelz,502,40060,0.41
Bangerten,532,35519,0.383
Bätterkinden,533,37242,0.404
